PackId;PackName;StarsToUnlockPack;LevelId;LevelName;TimeA;TimeB;TimeC;FigureScale;Difficulty
1;oasis;0;1;Duck;3.45;4.31;6.47;2.8;1
1;oasis;0;2;Panda;3.4;5.0;7.5;2.3;1
1;oasis;0;3;Rabbit;3.45;4.6;6.9;2.56;1
1;oasis;0;4;Deer;4.84;6.66;9.99;3;2
1;oasis;0;5;Pig;4.40;6.5;9.5;2.7;2
2;dunes;10;1;Snake;5.04;7.24;10.86;1.5;2
2;dunes;10;2;Lizard;4.73;6.7;10.05;1.1;2
2;dunes;10;3;Turtle;4.20;6.0;9.0;1.2;2
2;dunes;10;4;Spider;4.62;6.55;9.83;1.1;2
3;canyon;25;1;Camel;5.43;8.0;12.0;1.2;2
3;canyon;22;2;Fox;4.72;7.0;10.5;1.4;2
3;canyon;22;3;Jerboa;6.15;9.0;13.5;1.3;2
3;canyon;22;4;Hamster;5.64;8.3;12.45;1.5;2
4;ridge;39;1;Eagle;6.70;10.0;15.0;1.25;3
4;ridge;39;2;Ostrich;7.40;11.0;16.5;1.41;3
4;ridge;39;3;Owl;5.30;8.0;12.0;1.41;3
4;ridge;39;4;Armadillo;6.40;9.53;14.3;1.3;3
5;storm;82;1;Rattlesnake;7.20;10.8;16.2;1.41;3
5;storm;82;2;Ant;7.60;11.4;17.1;1.33;3
5;storm;82;3;Tarantula;7.30;11.0;16.5;1.3;3
5;storm;82;4;Scorpion;7.60;11.4;17.1;1.42;3
